:Procedure,Screening:Days -28 to -2,Period 1:Day -1,Period 1:Day 1,Wash out:3 to 14 days,Period 2:Day -1,Period 2:Day 1,Follow-up/ED:Within 28±2 days after last study treatment,Additional Follow-up for TE ADAa:,Comments:
Clinical Assessments,,,,,,,,,
Informed Consent,X,,,,,,,,
Randomization,,,X,,,,,,
Admission to CRU,,X,,,X,,,,Admission can be rescheduled if PG level is not 90 to 250 mg/dL on Day 1.
Discharge from CRU,,,X,,,X,,,Patient may be discharged 6 hours after glucagon administration. A patient may remain inpatient at the CRU at the discretion of the investigator.
Medical History,X,,,,,,,,
Collect Pre-existing Conditions and Adverse Events,X,X,X,X,X,X,X,,
Physical Exam,X,,240 min,,,240 min,X,,"After screening, medical assessment only performed to include medical review and targeted examination, as appropriate."
Height and Weight,X,,Pre-hypoglycemia induction,,,Pre-hypoglycemia induction,X,,Height is at screening only. Weight on Day 1 will be collected before the start of the procedure to induce hypoglycemia.
Collect Hypoglycemic Events,,,X,,,X,,,Refer to Section 9.5.5.1.
Collect Concomitant Medications,X,X,X,X,X,X,X,,Review patients’ insulin regimens to confirm acceptability to undergo the procedure to induce hypoglycemia.
Meal,,,X,,,X,,,"After completion of all PK sampling, patients will be provided a carbohydrate-rich meal. The investigator will ensure the patient’s PG is stable. A prandial insulin dose will be administered if needed."
Insulin infusion to Induce Hypoglycemia,,,X,,,X,,,Procedures in Period 2 will occur at approximately the same time as those in Period 1. Insulin infusion is stopped once bedside PG is <60 mg/dL.
Bedside PG Monitoring for Safety,,,X,,,X,,,Samples will be collected during the hypoglycemia induction procedure and post study treatment (up to 120 mins). Bedside PG monitoring will be conducted no more than 10 minutes apart while bedside PG is ≥90 mg/dL and no more than 5 minutes apart when bedside PG is <90 mg/dL.
Study Treatment Administration,,,X,,,X,,,"Once bedside PG reaches <60 mg/dL, the insulin infusion is stopped and approximately 5 minutes later study drug is administered. Indicates Time = 0 min."
